;Model;Method;n;alpha;Parameter;Par Real;Mean;Median;RB;MSE
1;Model 1;Method 1;84;0.35;(Intercept)_nu;2.1;2.171;2.173;-0.034;0.019
2;Model 1;Method 1;84;0.35;sent_nu;0.1;0.109;0.104;-0.09;0.015
3;Model 1;Method 1;84;0.35;cost_nu;-0.1;-0.104;-0.104;-0.04;0.014
4;Model 1;Method 1;84;0.35;(Intercept)_delta;-0.5;-1.266;-1.238;-1.532;0.942
5;Model 1;Method 1;84;0.35;semester2_delta;-0.25;-0.205;-0.195;0.18;0.244
6;Model 1;Method 1;84;0.35;alpha;0.35;0.47;0.466;-0.343;0.019
7;Model 1;Method 1;84;0.5;(Intercept)_nu;2.1;2.162;2.161;-0.03;0.021
8;Model 1;Method 1;84;0.5;sent_nu;0.1;0.097;0.098;0.03;0.023
9;Model 1;Method 1;84;0.5;cost_nu;-0.1;-0.102;-0.102;-0.02;0.021
10;Model 1;Method 1;84;0.5;(Intercept)_delta;-0.5;-0.787;-0.761;-0.574;0.307
11;Model 1;Method 1;84;0.5;semester2_delta;-0.25;-0.215;-0.211;0.14;0.194
12;Model 1;Method 1;84;0.5;alpha;0.5;0.562;0.559;-0.124;0.009
13;Model 1;Method 1;84;0.65;(Intercept)_nu;2.1;2.14;2.137;-0.019;0.02
14;Model 1;Method 1;84;0.65;sent_nu;0.1;0.103;0.103;-0.03;0.028
15;Model 1;Method 1;84;0.65;cost_nu;-0.1;-0.101;-0.102;-0.01;0.024
16;Model 1;Method 1;84;0.65;(Intercept)_delta;-0.5;-0.587;-0.578;-0.174;0.116
17;Model 1;Method 1;84;0.65;semester2_delta;-0.25;-0.242;-0.243;0.032;0.151
18;Model 1;Method 1;84;0.65;alpha;0.65;0.676;0.674;-0.04;0.006
19;Model 1;Method 1;84;0.8;(Intercept)_nu;2.1;2.129;2.127;-0.014;0.02
20;Model 1;Method 1;84;0.8;sent_nu;0.1;0.1;0.103;0;0.029
21;Model 1;Method 1;84;0.8;cost_nu;-0.1;-0.101;-0.097;-0.01;0.022
22;Model 1;Method 1;84;0.8;(Intercept)_delta;-0.5;-0.547;-0.53;-0.094;0.077
23;Model 1;Method 1;84;0.8;semester2_delta;-0.25;-0.255;-0.25;-0.02;0.115
24;Model 1;Method 1;84;0.8;alpha;0.8;0.82;0.82;-0.025;0.006
25;Model 1;Method 1;84;0.95;(Intercept)_nu;2.1;2.146;2.148;-0.022;0.02
26;Model 1;Method 1;84;0.95;sent_nu;0.1;0.101;0.1;-0.01;0.028
27;Model 1;Method 1;84;0.95;cost_nu;-0.1;-0.098;-0.096;0.02;0.017
28;Model 1;Method 1;84;0.95;(Intercept)_delta;-0.5;-0.552;-0.545;-0.104;0.055
