"t" "sent" "cost" "semester"
"1" 1 0.5 0.866025403784439 "1"
"2" 2 0.866025403784439 0.5 "1"
"3" 3 1 6.12303176911189e-17 "1"
"4" 4 0.866025403784439 -0.5 "1"
"5" 5 0.5 -0.866025403784439 "1"
"6" 6 1.22460635382238e-16 -1 "1"
"7" 7 -0.5 -0.866025403784439 "2"
"8" 8 -0.866025403784438 -0.5 "2"
"9" 9 -1 -1.83690953073357e-16 "2"
"10" 10 -0.866025403784439 0.5 "2"
"11" 11 -0.5 0.866025403784438 "2"
"12" 12 -2.44921270764475e-16 1 "2"
"13" 13 0.5 0.866025403784439 "1"
"14" 14 0.866025403784439 0.5 "1"
"15" 15 1 6.12303176911189e-17 "1"
"16" 16 0.866025403784439 -0.5 "1"
"17" 17 0.5 -0.866025403784439 "1"
"18" 18 1.22460635382238e-16 -1 "1"
"19" 19 -0.5 -0.866025403784439 "2"
"20" 20 -0.866025403784438 -0.5 "2"
"21" 21 -1 -1.83690953073357e-16 "2"
"22" 22 -0.866025403784439 0.5 "2"
"23" 23 -0.5 0.866025403784438 "2"
"24" 24 -2.44921270764475e-16 1 "2"
"25" 25 0.5 0.866025403784439 "1"
"26" 26 0.866025403784439 0.5 "1"
"27" 27 1 6.12303176911189e-17 "1"
"28" 28 0.866025403784439 -0.5 "1"
"29" 29 0.5 -0.866025403784439 "1"
"30" 30 1.22460635382238e-16 -1 "1"
"31" 31 -0.5 -0.866025403784439 "2"
"32" 32 -0.866025403784438 -0.5 "2"
"33" 33 -1 -1.83690953073357e-16 "2"
"34" 34 -0.866025403784439 0.5 "2"
"35" 35 -0.5 0.866025403784438 "2"
"36" 36 -2.44921270764475e-16 1 "2"
"37" 37 0.5 0.866025403784439 "1"
"38" 38 0.866025403784439 0.5 "1"
"39" 39 1 6.12303176911189e-17 "1"
"40" 40 0.866025403784439 -0.5 "1"
"41" 41 0.5 -0.866025403784439 "1"
"42" 42 1.22460635382238e-16 -1 "1"
"43" 43 -0.5 -0.866025403784439 "2"
"44" 44 -0.866025403784438 -0.5 "2"
"45" 45 -1 -1.83690953073357e-16 "2"
"46" 46 -0.866025403784439 0.5 "2"
"47" 47 -0.5 0.866025403784438 "2"
"48" 48 -2.44921270764475e-16 1 "2"
"49" 49 0.5 0.866025403784439 "1"
"50" 50 0.866025403784439 0.5 "1"
"51" 51 1 6.12303176911189e-17 "1"
"52" 52 0.866025403784439 -0.5 "1"
"53" 53 0.5 -0.866025403784439 "1"
"54" 54 1.22460635382238e-16 -1 "1"
"55" 55 -0.5 -0.866025403784439 "2"
"56" 56 -0.866025403784438 -0.5 "2"
"57" 57 -1 -1.83690953073357e-16 "2"
"58" 58 -0.866025403784439 0.5 "2"
"59" 59 -0.5 0.866025403784438 "2"
"60" 60 -2.44921270764475e-16 1 "2"
"61" 61 0.5 0.866025403784439 "1"
"62" 62 0.866025403784439 0.5 "1"
"63" 63 1 6.12303176911189e-17 "1"
"64" 64 0.866025403784439 -0.5 "1"
"65" 65 0.5 -0.866025403784439 "1"
"66" 66 1.22460635382238e-16 -1 "1"
"67" 67 -0.5 -0.866025403784439 "2"
"68" 68 -0.866025403784438 -0.5 "2"
"69" 69 -1 -1.83690953073357e-16 "2"
"70" 70 -0.866025403784439 0.5 "2"
"71" 71 -0.5 0.866025403784438 "2"
"72" 72 -2.44921270764475e-16 1 "2"
"73" 73 0.5 0.866025403784439 "1"
"74" 74 0.866025403784439 0.5 "1"
"75" 75 1 6.12303176911189e-17 "1"
"76" 76 0.866025403784439 -0.5 "1"
"77" 77 0.5 -0.866025403784439 "1"
"78" 78 1.22460635382238e-16 -1 "1"
"79" 79 -0.5 -0.866025403784439 "2"
"80" 80 -0.866025403784438 -0.5 "2"
"81" 81 -1 -1.83690953073357e-16 "2"
"82" 82 -0.866025403784439 0.5 "2"
"83" 83 -0.5 0.866025403784438 "2"
"84" 84 -2.44921270764475e-16 1 "2"
"85" 85 0.5 0.866025403784439 "1"
"86" 86 0.866025403784439 0.5 "1"
"87" 87 1 6.12303176911189e-17 "1"
"88" 88 0.866025403784439 -0.5 "1"
"89" 89 0.5 -0.866025403784439 "1"
"90" 90 1.22460635382238e-16 -1 "1"
"91" 91 -0.5 -0.866025403784439 "2"
"92" 92 -0.866025403784438 -0.5 "2"
"93" 93 -1 -1.83690953073357e-16 "2"
"94" 94 -0.866025403784439 0.5 "2"
"95" 95 -0.5 0.866025403784438 "2"
"96" 96 -2.44921270764475e-16 1 "2"
"97" 97 0.5 0.866025403784439 "1"
"98" 98 0.866025403784439 0.5 "1"
"99" 99 1 6.12303176911189e-17 "1"
"100" 100 0.866025403784439 -0.5 "1"
"101" 101 0.5 -0.866025403784439 "1"
"102" 102 1.22460635382238e-16 -1 "1"
"103" 103 -0.5 -0.866025403784439 "2"
"104" 104 -0.866025403784438 -0.5 "2"
"105" 105 -1 -1.83690953073357e-16 "2"
"106" 106 -0.866025403784439 0.5 "2"
"107" 107 -0.5 0.866025403784438 "2"
"108" 108 -2.44921270764475e-16 1 "2"
"109" 109 0.5 0.866025403784439 "1"
"110" 110 0.866025403784439 0.5 "1"
"111" 111 1 6.12303176911189e-17 "1"
"112" 112 0.866025403784439 -0.5 "1"
"113" 113 0.5 -0.866025403784439 "1"
"114" 114 1.22460635382238e-16 -1 "1"
"115" 115 -0.5 -0.866025403784439 "2"
"116" 116 -0.866025403784438 -0.5 "2"
"117" 117 -1 -1.83690953073357e-16 "2"
"118" 118 -0.866025403784439 0.5 "2"
"119" 119 -0.5 0.866025403784438 "2"
"120" 120 -2.44921270764475e-16 1 "2"
"121" 121 0.5 0.866025403784439 "1"
"122" 122 0.866025403784439 0.5 "1"
"123" 123 1 6.12303176911189e-17 "1"
"124" 124 0.866025403784439 -0.5 "1"
"125" 125 0.5 -0.866025403784439 "1"
"126" 126 1.22460635382238e-16 -1 "1"
"127" 127 -0.5 -0.866025403784439 "2"
"128" 128 -0.866025403784438 -0.5 "2"
"129" 129 -1 -1.83690953073357e-16 "2"
"130" 130 -0.866025403784439 0.5 "2"
"131" 131 -0.5 0.866025403784438 "2"
"132" 132 -2.44921270764475e-16 1 "2"
"133" 133 0.5 0.866025403784439 "1"
"134" 134 0.866025403784439 0.5 "1"
"135" 135 1 6.12303176911189e-17 "1"
"136" 136 0.866025403784439 -0.5 "1"
"137" 137 0.5 -0.866025403784439 "1"
"138" 138 1.22460635382238e-16 -1 "1"
"139" 139 -0.5 -0.866025403784439 "2"
"140" 140 -0.866025403784438 -0.5 "2"
"141" 141 -1 -1.83690953073357e-16 "2"
"142" 142 -0.866025403784439 0.5 "2"
"143" 143 -0.5 0.866025403784438 "2"
"144" 144 -2.44921270764475e-16 1 "2"
"145" 145 0.5 0.866025403784439 "1"
"146" 146 0.866025403784439 0.5 "1"
"147" 147 1 6.12303176911189e-17 "1"
"148" 148 0.866025403784439 -0.5 "1"
"149" 149 0.5 -0.866025403784439 "1"
"150" 150 1.22460635382238e-16 -1 "1"
"151" 151 -0.5 -0.866025403784439 "2"
"152" 152 -0.866025403784438 -0.5 "2"
"153" 153 -1 -1.83690953073357e-16 "2"
"154" 154 -0.866025403784439 0.5 "2"
"155" 155 -0.5 0.866025403784438 "2"
"156" 156 -2.44921270764475e-16 1 "2"
"157" 157 0.5 0.866025403784439 "1"
"158" 158 0.866025403784439 0.5 "1"
"159" 159 1 6.12303176911189e-17 "1"
"160" 160 0.866025403784439 -0.5 "1"
"161" 161 0.5 -0.866025403784439 "1"
"162" 162 1.22460635382238e-16 -1 "1"
"163" 163 -0.5 -0.866025403784439 "2"
"164" 164 -0.866025403784438 -0.5 "2"
"165" 165 -1 -1.83690953073357e-16 "2"
"166" 166 -0.866025403784439 0.5 "2"
"167" 167 -0.5 0.866025403784438 "2"
"168" 168 -2.44921270764475e-16 1 "2"
