;V8;V2;V6;V7;V3;Par_real;Mean;Median;RB;MSE
1;Model 1;0.35;Method 1;84;(Intercept)_a;2.5;2.53780194750212;2.5394;-0.0151207790008467;0.00142898723495279
2;Model 1;0.35;Method 1;84;sent_a;0.1;0.0934297205757832;0.0913;0.0657027942421677;4.31685717122863e-05
3;Model 1;0.35;Method 1;84;cost_a;-0.1;-0.101116680779001;-0.099;-0.0111668077900084;1.24697596218993e-06
4;Model 1;0.35;Method 1;84;(Intercept)_delta;-3.5;-3.68494572396274;-3.5187;-0.0528416354179267;0.0342049208121033
5;Model 1;0.35;Method 1;84;semester2_delta;-0.25;-0.329157747671465;-0.3133;-0.31663099068586;0.0062659490164193
6;Model 1;0.35;Method 1;84;alpha;0.35;0.42869949195597;0.426;-0.22485569130277;0.00619361003412771
7;Model 1;0.35;Method 1;144;(Intercept)_a;2.5;2.53067384744342;2.5277;-0.012269538977368;0.000940884916982207
8;Model 1;0.35;Method 1;144;sent_a;0.1;0.101021961441744;0.1021;-0.010219614417435;1.04440518841046e-06
9;Model 1;0.35;Method 1;144;cost_a;-0.1;-0.102826906957251;-0.103;-0.0282690695725063;7.99140294495202e-06
10;Model 1;0.35;Method 1;144;(Intercept)_delta;-3.5;-3.56391768650461;-3.4749;-0.0182621961441743;0.00408547064810161
11;Model 1;0.35;Method 1;144;semester2_delta;-0.25;-0.277886336965633;-0.2746;-0.111545347862531;0.000777647789360822
12;Model 1;0.35;Method 1;144;alpha;0.35;0.41657334450964;0.4151;-0.190209555741827;0.00443201019919916
13;Model 1;0.35;Method 1;216;(Intercept)_a;2.5;2.52231118530885;2.5238;-0.0089244741235392;0.000497788989885755
14;Model 1;0.35;Method 1;216;sent_a;0.1;0.0999086811352254;0.10105;0.000913188647746338;8.33913506372785e-09
15;Model 1;0.35;Method 1;216;cost_a;-0.1;-0.10012245409015;-0.10035;-0.00122454090150242;1.49950041945237e-08
16;Model 1;0.35;Method 1;216;(Intercept)_delta;-3.5;-3.47985784641068;-3.4307;0.00575490102551868;0.00040570635121557
17;Model 1;0.35;Method 1;216;semester2_delta;-0.25;-0.293761686143573;-0.27505;-0.17504674457429;0.00191508517412856
18;Model 1;0.35;Method 1;216;alpha;0.35;0.414203839732888;0.4129;-0.183439542093966;0.00412213303644639
19;Model 1;0.35;Method 2;84;(Intercept)_a;2.5;1.66261228070175;1.646;0.334955087719298;0.701218192431517
20;Model 1;0.35;Method 2;84;sent_a;0.1;0.0842;0.0841;0.158;0.00024964
21;Model 1;0.35;Method 2;84;cost_a;-0.1;-0.0972452631578947;-0.0995;0.0275473684210527;7.5885750692521e-06
22;Model 1;0.35;Method 2;84;(Intercept)_delta;-3.5;-2.24141368421053;-2.0329;0.359596090225564;1.58403951429252
23;Model 1;0.35;Method 2;84;semester2_delta;-0.25;-0.225900467836257;-0.223;0.0963981286549708;0.000580787450511269
24;Model 1;0.35;Method 2;84;alpha;0.35;0.455862573099415;0.4491;-0.302464494569758;0.011206884383229
25;Model 1;0.35;Method 2;144;(Intercept)_a;2.5;1.33920835266821;1.371;0.464316658932715;1.34743724851524
26;Model 1;0.35;Method 2;144;sent_a;0.1;4.95149234338747;0.0772;-48.5149234338747;23.5369779579473
27;Model 1;0.35;Method 2;144;cost_a;-0.1;-0.0848190255220418;-0.1148;0.151809744779582;0.00023046198610042
28;Model 1;0.35;Method 2;144;(Intercept)_delta;-3.5;-3.63111856148492;-3.5292;-0.0374624461385482;0.0171920771658744
